Date,Ticker,Close,High,Low,Open,Volume
2018-08-01,NESTLEIND.NS,1005.415771484375,1015.9876710697957,978.8998930294127,983.4413691708567,698060
2018-08-02,NESTLEIND.NS,998.2393798828125,1007.5635631304186,983.7568269719156,1006.635788210409,345150
2018-08-03,NESTLEIND.NS,957.8904418945312,1004.9657315001414,947.2581777275526,1002.9246720112482,1656700
2018-08-06,NESTLEIND.NS,977.3784790039062,988.9432761623027,964.8953068904844,974.1637702730653,588020
2018-08-07,NESTLEIND.NS,977.6703491210938,988.0799529942777,974.1633339380203,983.8122124677726,372860
2018-08-08,NESTLEIND.NS,998.8749389648438,1004.872971984948,981.3213970777001,981.6415654912089,696380
2018-08-09,NESTLEIND.NS,1009.646484375,1017.7691589016729,998.9352813980597,998.9352813980597,816460
2018-08-10,NESTLEIND.NS,993.2501831054688,1018.4344982677572,989.8994149768129,1013.1364904457522,573830
2018-08-13,NESTLEIND.NS,1008.6055908203125,1016.3900136500511,986.66050318085,990.8292222688198,529990
2018-08-14,NESTLEIND.NS,1009.1351928710938,1017.8770094245378,1001.9921736212681,1008.6751032347179,373560
2018-08-16,NESTLEIND.NS,1009.1631469726562,1018.2488681462952,1004.1207685783895,1008.4892943301966,491710
2018-08-17,NESTLEIND.NS,1010.6270141601562,1014.9955393199316,1002.4475175426247,1011.9281997227843,589030
2018-08-20,NESTLEIND.NS,1007.6573486328125,1017.598234820601,1004.8921588539804,1014.9956365215221,413210
2018-08-21,NESTLEIND.NS,1011.87255859375,1021.5019904937566,1006.6302599679148,1009.3257838181835,624850
2018-08-23,NESTLEIND.NS,1072.9998779296875,1076.8060836833604,1017.542236975259,1017.5980604186146,1940400
2018-08-24,NESTLEIND.NS,1056.143798828125,1072.7862212582545,1050.6226101163038,1067.6042848069362,494590
2018-08-27,NESTLEIND.NS,1053.4158935546875,1071.9545010555278,1047.8065436701993,1060.5404191816706,479970
2018-08-28,NESTLEIND.NS,1052.7420654296875,1062.2971809722285,1051.101513791841,1059.5970047582807,280970
2018-08-29,NESTLEIND.NS,1050.2509765625,1070.9504716148547,1047.4485711671641,1055.7070382753434,623500
2018-08-30,NESTLEIND.NS,1049.052001953125,1059.773623144775,1046.3843895309133,1050.501936840771,832130
2018-08-31,NESTLEIND.NS,1076.550537109375,1087.9599648151664,1049.107525983625,1049.107525983625,1859680
2018-09-03,NESTLEIND.NS,1048.2618408203125,1085.631670118522,1045.7800799568179,1085.631670118522,594620
2018-09-04,NESTLEIND.NS,1007.6715087890625,1054.5454051659306,1001.9319035816055,1053.1046605542933,815690
2018-09-05,NESTLEIND.NS,965.36572265625,1007.4620461968588,945.749001087415,1007.4620461968588,1298020
2018-09-06,NESTLEIND.NS,960.6721801757812,981.534383314379,952.4415100906825,972.0536988604747,905490
2018-09-07,NESTLEIND.NS,970.9893798828125,989.8996899208139,957.8836883706899,963.8741581670272,1126890
2018-09-10,NESTLEIND.NS,960.1839599609375,977.3514856931372,955.0578470172668,971.3098455057807,372740
2018-09-11,NESTLEIND.NS,933.9166870117188,965.2681316209448,929.5759603928651,957.3675258252991,602620
2018-09-12,NESTLEIND.NS,962.3868408203125,971.6630641623044,931.620915647732,936.9189807541785,1009620
2018-09-14,NESTLEIND.NS,960.6627197265625,982.6495577886986,957.6279435738542,972.0070209220696,934000
2018-09-17,NESTLEIND.NS,945.75390625,996.6570726040205,940.1723545153976,961.8293607112079,305820
2018-09-18,NESTLEIND.NS,952.1207275390625,969.4509596358989,947.2874603735456,952.4413720061677,376990
2018-09-19,NESTLEIND.NS,942.9607543945312,976.0503353062537,939.1498957730282,963.3164602030507,380060
2018-09-21,NESTLEIND.NS,906.2090454101562,953.5476223828645,855.1199716070512,948.9095098603125,1526700
2018-09-24,NESTLEIND.NS,898.1131591796875,920.0582443359906,893.6981138952336,918.1435111766104,318950
2018-09-25,NESTLEIND.NS,901.352294921875,914.9924482884646,872.7846449974188,894.6321501542965,879950
2018-09-26,NESTLEIND.NS,904.3267211914062,913.9608053361375,887.6099797087109,910.8842182600986,578870
2018-09-27,NESTLEIND.NS,890.3193359375,914.146644696011,881.9400320302763,910.5216378507158,835600
2018-09-28,NESTLEIND.NS,901.5661010742188,912.1017557167166,888.5254259355002,903.4575742231565,1159540
2018-10-01,NESTLEIND.NS,893.2008056640625,906.2878876496725,879.8952520211928,903.8247913257984,533280
2018-10-03,NESTLEIND.NS,868.4904174804688,892.3037697984739,866.2875470872705,892.3037697984739,865340
2018-10-04,NESTLEIND.NS,868.8763427734375,878.3245770132901,847.1125112954564,853.2656863250155,828010
2018-10-05,NESTLEIND.NS,875.470947265625,883.0090424228317,850.040300459324,868.1373111820262,1032320
2018-10-08,NESTLEIND.NS,871.9249877929688,881.071070959147,856.653585211245,875.4756205208379,756870
2018-10-09,NESTLEIND.NS,882.2607421875,893.2565434477686,860.4271926447367,871.9248943696025,811730
2018-10-10,NESTLEIND.NS,883.9617919921875,896.9512971522682,874.4345890949743,881.1547345455763,541710
2018-10-11,NESTLEIND.NS,872.2642211914062,878.3569767925962,840.9081188854184,864.4193806717626,913710
2018-10-12,NESTLEIND.NS,901.5847778320312,908.978832816292,876.5863649218418,879.2911361612219,1068450
2018-10-15,NESTLEIND.NS,897.4996948242188,904.3871402730189,888.4930004796946,904.3871402730189,350370
2018-10-16,NESTLEIND.NS,905.084228515625,907.5148179059769,895.668559551086,897.8760820596607,493750
2018-10-17,NESTLEIND.NS,903.9549560546875,916.4704728181155,900.1487494254083,910.8935733892021,455810
2018-10-19,NESTLEIND.NS,893.1451416015625,901.1479788763717,881.1501328678027,899.3865899399286,690900
2018-10-22,NESTLEIND.NS,896.11474609375,906.9665080283864,894.1628540320872,902.5282029783334,1145580
2018-10-23,NESTLEIND.NS,869.2943725585938,887.6563147920773,864.4192384886198,864.5586836388978,924190
